Program Name,ETPL Status,INTraining Listed,Tuition Cost,Additional Fees,Total Program Cost,Funding Available,Duration,Instructional Hours,Weekly Hours,Modality,Prerequisites,Age Requirement,Instructor Credentials,Completion Rate,Credential Attainment Rate,Employment Rate Q2,Employment Rate Q4,Median Earnings Q2,Median Earnings Q4,Last Updated,Data Source,Compliance Score,Priority Level,Missing Data Fields
"Home Health Aide (HHA) Training",Yes,Yes,"$3,500","Books, supplies, tools, labs","$3,500+","Eligible students may have costs waived for state/federal funded programs",4 weeks,60,15,"Day, Evening, Weekend, Online","High School Diploma or Equivalent or ability to read/write & follow instructions",18+,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,2024-09-17,INTraining Program Listing,25,HIGH,"Instructor credentials, all performance metrics"
"Beauty & Career Educator Training Program",Yes,Yes,"$3,500","Admission $100, Books $150, Supplies $700, Labs $30, Misc $250","$4,730",PRIVATE_DATA_NEEDED,84 days,144,12,"Hybrid (40% online, 50% instructor-led, 40% lab)","High School Diploma or Equivalent, orientation & readiness screening",16+,"2+ years professional nail care or esthetics experience + CPR/First Aid cert or infection control cert or peer support training or state cosmetology license",PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,2024-09-17,INTraining Program Listing,35,HIGH,"Funding coverage details, all performance metrics"
"CPR & OSHA Safety Technician (Emergency Health & Safety)",Yes,Yes,COST_SHOWN_BUT_AMOUNT_UNKNOWN,UNKNOWN,UNKNOWN,"Fully Funded for eligible students / Grant-eligible paths cited","Under 1 week","Hybrid portions",UNKNOWN,"Hybrid (some portions in person/online)","High School Diploma or Equivalent (or GED) or ability to read/follow instructions",18+,"CPR/AED & First Aid Instructor certification + minimum 2 years experience in safety/healthcare",PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,2024-09-17,INTraining Program Listing,30,HIGH,"Exact costs, duration details, all performance metrics"
"Direct Support Professional (DSP)",NEEDS_VERIFICATION,UNKNOWN,COST_SHOWN,UNKNOWN,UNKNOWN,"Grant/WIOA Options",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Prereqs Unknown or minimal",UNKNOWN,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,2024-09-17,Website Reference Only,15,HIGH,"All program specifications, instructor info, performance data"
"Remote Work & Help Desk",NEEDS_VERIFICATION,UNKNOWN,COST_SHOWN,UNKNOWN,UNKNOWN,"Grant Options Unknown",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Prereqs Unknown",UNKNOWN,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,2024-09-17,Website Reference Only,10,HIGH,"All program specifications, instructor info, performance data"
"Barbering Youth Bootcamp",NEEDS_VERIFICATION,UNKNOWN,COST_SHOWN,UNKNOWN,UNKNOWN,"Grant/Youth Funding Likely",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Prereqs Unknown",YOUTH_PROGRAM,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,2024-09-17,Website Reference Only,10,HIGH,"State licensing requirements, age criteria, all specifications"
"Microsoft Office Specialist",NEEDS_VERIFICATION,UNKNOWN,COST_SHOWN,UNKNOWN,UNKNOWN,"Grant Options Unknown",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Prereqs Unknown",UNKNOWN,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,2024-09-17,Website Reference Only,15,MEDIUM,"All program specifications, instructor info, performance data"
"Google Workspace Productivity",NEEDS_VERIFICATION,UNKNOWN,COST_SHOWN,UNKNOWN,UNKNOWN,"Grant Options Unknown",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Prereqs Unknown",UNKNOWN,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,2024-09-17,Website Reference Only,15,MEDIUM,"Google partnership verification, all specifications"
"Digital Literacy & IC3",NEEDS_VERIFICATION,UNKNOWN,COST_SHOWN,UNKNOWN,UNKNOWN,"Grant Options Unknown",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Prereqs Unknown",UNKNOWN,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,2024-09-17,Website Reference Only,15,MEDIUM,"All program specifications, instructor info, performance data"
"ServSafe Manager",NEEDS_VERIFICATION,UNKNOWN,COST_SHOWN,UNKNOWN,UNKNOWN,"Grant Options Unknown",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Prereqs Unknown",UNKNOWN,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,2024-09-17,Website Reference Only,15,MEDIUM,"All program specifications, instructor info, performance data"
"ServSafe Food Handler",NEEDS_VERIFICATION,UNKNOWN,COST_SHOWN,UNKNOWN,UNKNOWN,"Grant Options Unknown",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Prereqs Unknown",UNKNOWN,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,2024-09-17,Website Reference Only,15,LOW,"All program specifications, instructor info, performance data"
"Youth Entrepreneurship",NEEDS_VERIFICATION,UNKNOWN,COST_SHOWN,UNKNOWN,UNKNOWN,"Grant/Youth Funding Likely",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Prereqs Unknown",YOUTH_PROGRAM,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,2024-09-17,Website Reference Only,10,MEDIUM,"Youth-specific requirements, all specifications"
"Business Administration",NEEDS_VERIFICATION,UNKNOWN,COST_SHOWN,UNKNOWN,UNKNOWN,"Grant Options Unknown",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Prereqs Unknown",UNKNOWN,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,2024-09-17,Website Reference Only,15,MEDIUM,"All program specifications, instructor info, performance data"
"Janitorial Services",NEEDS_VERIFICATION,UNKNOWN,COST_SHOWN,UNKNOWN,UNKNOWN,"Grant Options Unknown",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Prereqs Unknown",UNKNOWN,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,2024-09-17,Website Reference Only,15,MEDIUM,"All program specifications, instructor info, performance data"
"OSHA 10 Hour Certification",NEEDS_VERIFICATION,UNKNOWN,COST_SHOWN,UNKNOWN,UNKNOWN,"Grant Options Likely Available",~10 instructional hours,10,VARIES,"In-Person/Online mix","No major prerequisites beyond age/reading",18+,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,2024-09-17,Website Reference Only,20,LOW,"Instructor credentials, performance data"
"OSHA 30 Hour Certification",NEEDS_VERIFICATION,UNKNOWN,COST_SHOWN,UNKNOWN,UNKNOWN,"Grant Options Likely Available",~30 instructional hours,30,VARIES,"In-Person/Online mix","No major prerequisites beyond age/reading",18+,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,2024-09-17,Website Reference Only,20,LOW,"Instructor credentials, performance data"
"First Aid & Workplace Safety",NEEDS_VERIFICATION,UNKNOWN,COST_SHOWN,UNKNOWN,UNKNOWN,"Grant Options Likely Available","Short course format",UNKNOWN,UNKNOWN,UNKNOWN,"Prereqs Unknown",UNKNOWN,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,PRIVATE_DATA_NEEDED,2024-09-17,Website Reference Only,15,LOW,"All program specifications, instructor info, performance data"