day,title,hook,bullets,cta,footage_dir,bg_music,duration,brand_color,logo,qr_url,output
1,Free Training,Stop scrolling: FREE career training,Industry certs; Job placement; Federal funding,Apply free • Link in bio,assets/footage,assets/music/track.mp3,24,#1e40af,assets/logo.png,https://elevateforhumanity.org,day01_free_training.mp4
2,Tech Jobs,Tech jobs paying $80K+ with NO degree,Coding bootcamp; Cloud certs; Cybersecurity,Start learning • Tap link,assets/footage,assets/music/track.mp3,23,#0ea5e9,assets/logo.png,https://elevateforhumanity.org/tech,day02_tech_jobs.mp4
3,Healthcare,3 healthcare careers you can start NOW,Medical coding; EHR; Allied health,Enroll today • Free,assets/footage,assets/music/track.mp3,25,#10b981,assets/logo.png,https://elevateforhumanity.org/healthcare,day03_healthcare.mp4
4,Success Story,Meet John: $0 to $65K in 6 months,Free training; Job placement; Now thriving,Your turn • Apply,assets/footage,assets/music/track.mp3,26,#ef4444,assets/logo.png,https://elevateforhumanity.org/success,day04_success_john.mp4
5,WIOA Funding,Government pays 100% of your training,WIOA eligible; No upfront cost; 106+ programs,Check eligibility • Link,assets/footage,assets/music/track.mp3,24,#f59e0b,assets/logo.png,https://elevateforhumanity.org/funding,day05_wioa.mp4
6,Data Science,Become a data scientist in 6 months,Python; SQL; Real projects; Job guarantee,Start today • Free,assets/footage,assets/music/track.mp3,25,#8b5cf6,assets/logo.png,https://elevateforhumanity.org/data,day06_data_science.mp4
7,Apprenticeships,Get PAID to learn: $50K+ apprenticeships,Earn while learning; No debt; Start in 30 days,Apply now • Tap link,assets/footage,assets/music/track.mp3,24,#06b6d4,assets/logo.png,https://elevateforhumanity.org/apprentice,day07_apprentice.mp4
8,CompTIA,Get CompTIA A+ certified for FREE,IT support; Help desk; Career support,Enroll free • Link,assets/footage,assets/music/track.mp3,23,#3b82f6,assets/logo.png,https://elevateforhumanity.org/comptia,day08_comptia.mp4
9,Cloud Computing,AWS & Azure certs paying $100K+,Cloud architect; DevOps; Hands-on labs,Get certified • Tap,assets/footage,assets/music/track.mp3,26,#6366f1,assets/logo.png,https://elevateforhumanity.org/cloud,day09_cloud.mp4
10,Career Change,Changed careers at 35: Here's how,Free training; Career coaching; New life,Start your journey,assets/footage,assets/music/track.mp3,27,#ec4899,assets/logo.png,https://elevateforhumanity.org,day10_career_change.mp4
11,Cybersecurity,500K+ cybersecurity jobs open NOW,Security+; CEH; CISSP prep; High demand,Start training • Free,assets/footage,assets/music/track.mp3,24,#dc2626,assets/logo.png,https://elevateforhumanity.org/cyber,day11_cybersecurity.mp4
12,Project Management,Become a PMP certified manager,PMI training; PMP prep; Job placement,Enroll free • Link,assets/footage,assets/music/track.mp3,25,#14b8a6,assets/logo.png,https://elevateforhumanity.org/pmp,day12_pmp.mp4
13,No Experience,No experience? No problem!,Entry-level programs; Career support; Federal funding,Apply today • Free,assets/footage,assets/music/track.mp3,23,#f97316,assets/logo.png,https://elevateforhumanity.org,day13_no_experience.mp4
14,Success Story,Meet Maria: Single mom to $70K,Free childcare; Flexible schedule; Now stable,Your turn • Apply,assets/footage,assets/music/track.mp3,28,#ef4444,assets/logo.png,https://elevateforhumanity.org/success,day14_success_maria.mp4
15,Business Skills,Business certifications that pay,HR; Accounting; Management; Federal funding,Enroll free • Tap,assets/footage,assets/music/track.mp3,24,#eab308,assets/logo.png,https://elevateforhumanity.org/business,day15_business.mp4
16,Remote Jobs,Train for remote jobs paying $60K+,Digital marketing; Web dev; Data analysis,Start learning • Link,assets/footage,assets/music/track.mp3,25,#8b5cf6,assets/logo.png,https://elevateforhumanity.org/remote,day16_remote_jobs.mp4
17,Fast Track,Get certified in 8 weeks or less,Accelerated programs; Job-ready fast; Support,Enroll today • Free,assets/footage,assets/music/track.mp3,23,#0ea5e9,assets/logo.png,https://elevateforhumanity.org,day17_fast_track.mp4
18,Veterans,Veterans: Special programs for you,GI Bill accepted; Career transition; Support,Learn more • Tap,assets/footage,assets/music/track.mp3,26,#1e40af,assets/logo.png,https://elevateforhumanity.org/veterans,day18_veterans.mp4
19,Networking,Build your network while learning,Mentorship; Industry connections; Job referrals,Join us • Link in bio,assets/footage,assets/music/track.mp3,24,#10b981,assets/logo.png,https://elevateforhumanity.org,day19_networking.mp4
20,Success Story,From retail to tech: $45K to $85K,6-month bootcamp; Job placement; Life changed,Your turn • Apply,assets/footage,assets/music/track.mp3,27,#ef4444,assets/logo.png,https://elevateforhumanity.org/success,day20_success_retail.mp4
21,Soft Skills,Technical + soft skills = Career success,Communication; Leadership; Problem-solving,Develop both • Free,assets/footage,assets/music/track.mp3,25,#f59e0b,assets/logo.png,https://elevateforhumanity.org,day21_soft_skills.mp4
22,Job Placement,95% job placement rate,Career coaching; Interview prep; Employer network,Start today • Tap,assets/footage,assets/music/track.mp3,24,#06b6d4,assets/logo.png,https://elevateforhumanity.org,day22_job_placement.mp4
23,Flexible Learning,Learn on YOUR schedule,Online; Evening; Weekend classes; Self-paced,Enroll free • Link,assets/footage,assets/music/track.mp3,23,#8b5cf6,assets/logo.png,https://elevateforhumanity.org,day23_flexible.mp4
24,High Demand,Top 5 careers hiring RIGHT NOW,Cloud; Cyber; Data; Healthcare; Project mgmt,Explore programs • Tap,assets/footage,assets/music/track.mp3,26,#3b82f6,assets/logo.png,https://elevateforhumanity.org,day24_high_demand.mp4
25,Certification,Why certifications matter MORE than degrees,Industry-recognized; Faster; Lower cost; Proven,Get certified • Free,assets/footage,assets/music/track.mp3,25,#14b8a6,assets/logo.png,https://elevateforhumanity.org,day25_certifications.mp4
26,Success Story,Age is just a number: Started at 50,Never too late; Career change; Thriving now,Your turn • Apply,assets/footage,assets/music/track.mp3,28,#ef4444,assets/logo.png,https://elevateforhumanity.org/success,day26_success_age50.mp4
27,Salary Boost,Average salary increase: $35K,Before/after training; Real numbers; Real people,See the data • Link,assets/footage,assets/music/track.mp3,24,#10b981,assets/logo.png,https://elevateforhumanity.org/outcomes,day27_salary_boost.mp4
28,Community,Join 10K+ students changing their lives,Supportive community; Alumni network; Lifelong,Join us • Tap link,assets/footage,assets/music/track.mp3,25,#ec4899,assets/logo.png,https://elevateforhumanity.org,day28_community.mp4
29,Free Resources,Free career resources you can use TODAY,Resume templates; Interview guides; Career tools,Download free • Link,assets/footage,assets/music/track.mp3,23,#f97316,assets/logo.png,https://elevateforhumanity.org/resources,day29_free_resources.mp4
30,Apply Now,Ready to change your life? Apply NOW,Free training; Job placement; Federal funding,Apply today • Tap link,assets/footage,assets/music/track.mp3,24,#1e40af,assets/logo.png,https://elevateforhumanity.org/apply,day30_apply_now.mp4
